item,variety,date,price,unit
turnip,turnip,2020-12-04,1.17,kg
parsnips,all_varieties,2020-12-04,0.95,kg
tulips,tulips,2020-12-04,0.22,stem
apples,bramleys_seedling,2020-11-27,1,kg
apples,coxs_orange_group,2020-11-27,0.95,kg
apples,egremont_russet,2020-11-27,1.5,kg
apples,braeburn,2020-11-27,0.81,kg
apples,gala,2020-11-27,0.93,kg
apples,other_late_season,2020-11-27,0.97,kg
pears,conference,2020-11-27,0.89,kg
pears,doyenne_du_comice,2020-11-27,1.07,kg
pears,other,2020-11-27,0.67,kg
strawberries,strawberries,2020-11-27,5.19,kg
beetroot,beetroot,2020-11-27,0.46,kg
brussels_sprouts,brussels_sprouts,2020-11-27,0.79,kg
pak_choi,pak_choi,2020-11-27,2.5,kg
curly_kale,curly_kale,2020-11-27,2.52,kg
cabbage,red,2020-11-27,0.4,kg
cabbage,savoy,2020-11-27,0.48,head
spring_greens,prepacked,2020-11-27,0.81,kg
cabbage,summer_autumn_pointed,2020-11-27,0.58,kg
cabbage,white,2020-11-27,0.37,kg
cabbage,round_green_other,2020-11-27,0.47,head
capsicum,green,2020-11-27,0.7,kg
capsicum,red,2020-11-27,0.71,kg
capsicum,elongated,2020-11-27,1.09,kg
carrots,topped_washed,2020-11-27,0.47,kg
cauliflower,all,2020-11-27,0.47,head
celery,all_washed,2020-11-27,0.68,kg
celeriac,celeriac,2020-11-27,0.76,kg
chinese_leaf,chinese_leaf,2020-11-27,0.96,kg
leeks,trimmed,2020-11-27,1.18,kg
lettuce,butterhead_indoor,2020-11-27,0.38,head
lettuce,cos,2020-11-27,0.52,head
lettuce,little_gem,2020-11-27,0.66,twin
onion,bulb_brown,2020-11-27,0.37,kg
onion,bulb_red,2020-11-27,0.54,kg
swede,swede,2020-11-27,0.22,kg
turnip,turnip,2020-11-27,1.18,kg
parsnips,all_varieties,2020-11-27,0.96,kg
tomatoes,round,2020-11-27,1.36,kg
tomatoes,cherry,2020-11-27,2.68,kg
tulips,tulips,2020-11-27,0.22,stem
apples,bramleys_seedling,2020-11-20,1,kg
apples,coxs_orange_group,2020-11-20,1.02,kg
apples,egremont_russet,2020-11-20,1.56,kg
apples,braeburn,2020-11-20,0.85,kg
apples,gala,2020-11-20,0.88,kg
apples,other_late_season,2020-11-20,0.98,kg
pears,conference,2020-11-20,0.94,kg
pears,doyenne_du_comice,2020-11-20,1.02,kg
pears,other,2020-11-20,0.67,kg
strawberries,strawberries,2020-11-20,7.09,kg
beetroot,beetroot,2020-11-20,0.45,kg
brussels_sprouts,brussels_sprouts,2020-11-20,0.76,kg
pak_choi,pak_choi,2020-11-20,2.51,kg
curly_kale,curly_kale,2020-11-20,2.5,kg
cabbage,red,2020-11-20,0.39,kg
cabbage,savoy,2020-11-20,0.49,head
spring_greens,prepacked,2020-11-20,0.81,kg
cabbage,summer_autumn_pointed,2020-11-20,0.57,kg
cabbage,white,2020-11-20,0.35,kg
cabbage,round_green_other,2020-11-20,0.49,head
calabrese,calabrese,2020-11-20,1.02,kg
capsicum,green,2020-11-20,0.69,kg
capsicum,red,2020-11-20,0.9,kg
carrots,topped_washed,2020-11-20,0.48,kg
cauliflower,all,2020-11-20,0.5,head
celery,all_washed,2020-11-20,0.69,kg
celeriac,celeriac,2020-11-20,0.74,kg
chinese_leaf,chinese_leaf,2020-11-20,0.98,kg
coriander,coriander,2020-11-20,1.06,kg
leeks,trimmed,2020-11-20,1.15,kg
lettuce,butterhead_indoor,2020-11-20,0.38,head
lettuce,cos,2020-11-20,0.52,head
lettuce,little_gem,2020-11-20,0.69,twin
onion,bulb_brown,2020-11-20,0.4,kg
onion,bulb_red,2020-11-20,0.52,kg
onion,saladspring,2020-11-20,0.21,kg
swede,swede,2020-11-20,0.23,kg
turnip,turnip,2020-11-20,1.21,kg
parsnips,all_varieties,2020-11-20,0.95,kg
spinach_leaf,loosebunches,2020-11-20,1.06,kg
tomatoes,round,2020-11-20,1.11,kg
tomatoes,vine,2020-11-20,1.4,kg
tomatoes,cherry,2020-11-20,2.32,kg
apples,bramleys_seedling,2020-11-13,0.96,kg
apples,coxs_orange_group,2020-11-13,0.97,kg
apples,egremont_russet,2020-11-13,1.29,kg
apples,braeburn,2020-11-13,0.82,kg
apples,gala,2020-11-13,0.88,kg
apples,other_early_season,2020-11-13,0.78,kg
apples,other_late_season,2020-11-13,0.94,kg
blackberries,blackberries,2020-11-13,3.5,kg
pears,conference,2020-11-13,0.71,kg
pears,doyenne_du_comice,2020-11-13,0.85,kg
strawberries,strawberries,2020-11-13,5.98,kg
beetroot,beetroot,2020-11-13,0.49,kg
brussels_sprouts,brussels_sprouts,2020-11-13,0.8,kg
pak_choi,pak_choi,2020-11-13,2.62,kg
curly_kale,curly_kale,2020-11-13,2.64,kg
cabbage,red,2020-11-13,0.37,kg
cabbage,savoy,2020-11-13,0.49,head
spring_greens,prepacked,2020-11-13,0.79,kg
cabbage,summer_autumn_pointed,2020-11-13,0.58,kg
cabbage,white,2020-11-13,0.37,kg
cabbage,round_green_other,2020-11-13,0.47,head
calabrese,calabrese,2020-11-13,1.07,kg
capsicum,green,2020-11-13,0.56,kg
capsicum,red,2020-11-13,0.6,kg
carrots,topped_washed,2020-11-13,0.5,kg
cauliflower,all,2020-11-13,0.56,head
celery,all_washed,2020-11-13,0.78,kg
celeriac,celeriac,2020-11-13,0.81,kg
chinese_leaf,chinese_leaf,2020-11-13,0.84,kg
coriander,coriander,2020-11-13,1.11,kg
cucumbers,cucumbers,2020-11-13,0.87,kg
leeks,trimmed,2020-11-13,1.17,kg
lettuce,butterhead_indoor,2020-11-13,0.38,head
lettuce,cos,2020-11-13,0.53,head
lettuce,little_gem,2020-11-13,0.7,twin
onion,bulb_brown,2020-11-13,0.37,kg
onion,bulb_red,2020-11-13,0.52,kg
onion,saladspring,2020-11-13,0.32,kg
swede,swede,2020-11-13,0.23,kg
turnip,turnip,2020-11-13,1.32,kg
parsnips,all_varieties,2020-11-13,1.04,kg
spinach_leaf,loosebunches,2020-11-13,1.14,kg
tomatoes,round,2020-11-13,0.64,kg
tomatoes,vine,2020-11-13,1.78,kg
tomatoes,cherry,2020-11-13,1.03,kg
gladioli,all_varieties,2020-11-13,0.1,stem
apples,bramleys_seedling,2020-11-06,0.94,kg
apples,coxs_orange_group,2020-11-06,0.93,kg
apples,egremont_russet,2020-11-06,1.22,kg
apples,braeburn,2020-11-06,0.86,kg
apples,gala,2020-11-06,0.92,kg
apples,other_late_season,2020-11-06,0.83,kg
pears,conference,2020-11-06,0.75,kg
pears,doyenne_du_comice,2020-11-06,0.99,kg
raspberries,raspberries,2020-11-06,11.8,kg
strawberries,strawberries,2020-11-06,5.25,kg
beans,runner_climbing,2020-11-06,2.53,kg
beetroot,beetroot,2020-11-06,0.49,kg
brussels_sprouts,brussels_sprouts,2020-11-06,0.85,kg
pak_choi,pak_choi,2020-11-06,2.36,kg
curly_kale,curly_kale,2020-11-06,2.6,kg
cabbage,red,2020-11-06,0.37,kg
cabbage,savoy,2020-11-06,0.49,head
spring_greens,prepacked,2020-11-06,0.79,kg
cabbage,summer_autumn_pointed,2020-11-06,0.58,kg
cabbage,white,2020-11-06,0.35,kg
cabbage,round_green_other,2020-11-06,0.44,head
calabrese,calabrese,2020-11-06,1.17,kg
capsicum,green,2020-11-06,0.6,kg
capsicum,red,2020-11-06,0.66,kg
carrots,topped_washed,2020-11-06,0.5,kg
cauliflower,all,2020-11-06,0.61,head
celery,all_washed,2020-11-06,0.79,kg
celeriac,celeriac,2020-11-06,0.8,kg
chinese_leaf,chinese_leaf,2020-11-06,0.98,kg
coriander,coriander,2020-11-06,1.87,kg
cucumbers,cucumbers,2020-11-06,0.88,kg
leeks,trimmed,2020-11-06,1.22,kg
lettuce,butterhead_indoor,2020-11-06,0.39,head
lettuce,cos,2020-11-06,0.6,head
lettuce,crisp_iceberg_type,2020-11-06,0.56,head
lettuce,little_gem,2020-11-06,0.73,twin
onion,bulb_brown,2020-11-06,0.4,kg
onion,bulb_red,2020-11-06,0.51,kg
onion,saladspring,2020-11-06,0.33,kg
swede,swede,2020-11-06,0.23,kg
turnip,turnip,2020-11-06,1.4,kg
parsnips,all_varieties,2020-11-06,1.05,kg
rhubarb,outdoor,2020-11-06,1.42,kg
spinach_leaf,loosebunches,2020-11-06,1.03,kg
sweetcorn,sweetcorn,2020-11-06,0.2,head
tomatoes,round,2020-11-06,0.79,kg
tomatoes,vine,2020-11-06,1.73,kg
tomatoes,cherry,2020-11-06,1.05,kg
gladioli,all_varieties,2020-11-06,0.11,stem
tulips,tulips,2020-11-06,0.2,stem
apples,bramleys_seedling,2020-10-30,0.99,kg
apples,coxs_orange_group,2020-10-30,0.9,kg
apples,egremont_russet,2020-10-30,1.34,kg
apples,braeburn,2020-10-30,0.93,kg
apples,gala,2020-10-30,0.96,kg
apples,other_late_season,2020-10-30,0.9,kg
blackberries,blackberries,2020-10-30,12,kg
blueberries,blueberries,2020-10-30,11.2,kg
pears,conference,2020-10-30,0.92,kg
pears,doyenne_du_comice,2020-10-30,0.94,kg
raspberries,raspberries,2020-10-30,10.31,kg
strawberries,strawberries,2020-10-30,4.08,kg
beans,broad,2020-10-30,1.51,kg
beetroot,beetroot,2020-10-30,0.47,kg
brussels_sprouts,brussels_sprouts,2020-10-30,0.87,kg
pak_choi,pak_choi,2020-10-30,2.37,kg
curly_kale,curly_kale,2020-10-30,2.75,kg
cabbage,red,2020-10-30,0.35,kg
cabbage,savoy,2020-10-30,0.47,head
spring_greens,prepacked,2020-10-30,0.8,kg
cabbage,summer_autumn_pointed,2020-10-30,0.58,kg
cabbage,white,2020-10-30,0.33,kg
cabbage,round_green_other,2020-10-30,0.47,head
calabrese,calabrese,2020-10-30,1.19,kg
capsicum,red,2020-10-30,0.9,kg
capsicum,elongated,2020-10-30,1.2,kg
carrots,topped_washed,2020-10-30,0.5,kg
cauliflower,all,2020-10-30,0.67,head
celery,all_washed,2020-10-30,0.77,kg
celeriac,celeriac,2020-10-30,0.66,kg
chinese_leaf,chinese_leaf,2020-10-30,0.99,kg
coriander,coriander,2020-10-30,1.14,kg
cucumbers,cucumbers,2020-10-30,1.12,kg
leeks,trimmed,2020-10-30,1.25,kg
lettuce,butterhead_indoor,2020-10-30,0.38,head
lettuce,cos,2020-10-30,0.59,head
lettuce,crisp_iceberg_type,2020-10-30,0.58,head
lettuce,little_gem,2020-10-30,0.7,twin
rocket,rocket,2020-10-30,5.12,kg
mixed_babyleaf_salad,pillow_pack,2020-10-30,5.73,kg
onion,bulb_brown,2020-10-30,0.4,kg
onion,bulb_red,2020-10-30,0.53,kg
onion,saladspring,2020-10-30,0.34,kg
swede,swede,2020-10-30,0.23,kg
turnip,turnip,2020-10-30,1.54,kg
parsnips,all_varieties,2020-10-30,1.03,kg
rhubarb,outdoor,2020-10-30,1.42,kg
spinach_leaf,loosebunches,2020-10-30,1.31,kg
sweetcorn,sweetcorn,2020-10-30,0.32,head
tomatoes,round,2020-10-30,0.83,kg
tomatoes,vine,2020-10-30,1.69,kg
tomatoes,plum,2020-10-30,2.4,kg
gladioli,all_varieties,2020-10-30,0.2,stem
apples,bramleys_seedling,2020-10-23,0.92,kg
apples,coxs_orange_group,2020-10-23,0.93,kg
apples,egremont_russet,2020-10-23,1.27,kg
apples,braeburn,2020-10-23,0.93,kg
apples,gala,2020-10-23,0.98,kg
apples,other_early_season,2020-10-23,0.64,kg
apples,other_mid_season,2020-10-23,0.7,kg
apples,other_late_season,2020-10-23,0.82,kg
blueberries,blueberries,2020-10-23,7.6,kg
pears,conference,2020-10-23,0.87,kg
pears,doyenne_du_comice,2020-10-23,0.99,kg
raspberries,raspberries,2020-10-23,9,kg
strawberries,strawberries,2020-10-23,5.1,kg
beans,broad,2020-10-23,1.35,kg
beans,dwarf_french_or_kidney,2020-10-23,2.46,kg
beans,runner_climbing,2020-10-23,1.95,kg
beetroot,beetroot,2020-10-23,0.48,kg
brussels_sprouts,brussels_sprouts,2020-10-23,0.86,kg
pak_choi,pak_choi,2020-10-23,2.37,kg
curly_kale,curly_kale,2020-10-23,2.81,kg
cabbage,red,2020-10-23,0.36,kg
cabbage,savoy,2020-10-23,0.47,head
spring_greens,prepacked,2020-10-23,0.81,kg
cabbage,summer_autumn_pointed,2020-10-23,0.56,kg
cabbage,white,2020-10-23,0.33,kg
cabbage,round_green_other,2020-10-23,0.47,head
calabrese,calabrese,2020-10-23,1.21,kg
capsicum,elongated,2020-10-23,1.2,kg
capsicum,yelloworange,2020-10-23,0.6,kg
carrots,topped_washed,2020-10-23,0.5,kg
cauliflower,all,2020-10-23,1.1,head
celery,all_washed,2020-10-23,0.78,kg
celeriac,celeriac,2020-10-23,0.65,kg
chinese_leaf,chinese_leaf,2020-10-23,0.99,kg
coriander,coriander,2020-10-23,1.11,kg
cucumbers,cucumbers,2020-10-23,1.19,kg
leeks,trimmed,2020-10-23,1.24,kg
lettuce,butterhead_indoor,2020-10-23,0.38,head
lettuce,cos,2020-10-23,0.6,head
lettuce,crisp_iceberg_type,2020-10-23,0.6,head
lettuce,little_gem,2020-10-23,0.68,twin
rocket,rocket,2020-10-23,5.28,kg
mixed_babyleaf_salad,pillow_pack,2020-10-23,4.33,kg
onion,bulb_brown,2020-10-23,0.4,kg
onion,bulb_red,2020-10-23,0.54,kg
onion,saladspring,2020-10-23,0.34,kg
swede,swede,2020-10-23,0.23,kg
turnip,turnip,2020-10-23,1.53,kg
parsnips,all_varieties,2020-10-23,1.02,kg
rhubarb,outdoor,2020-10-23,1.49,kg
spinach_leaf,loosebunches,2020-10-23,1.25,kg
sweetcorn,sweetcorn,2020-10-23,0.29,head
tomatoes,round,2020-10-23,0.98,kg
tomatoes,vine,2020-10-23,2.1,kg
gladioli,all_varieties,2020-10-23,0.24,stem
apples,bramleys_seedling,2020-10-16,0.98,kg
apples,coxs_orange_group,2020-10-16,0.99,kg
apples,egremont_russet,2020-10-16,1.24,kg
apples,braeburn,2020-10-16,0.99,kg
apples,gala,2020-10-16,1.02,kg
apples,other_early_season,2020-10-16,0.7,kg
apples,other_mid_season,2020-10-16,0.75,kg
apples,other_late_season,2020-10-16,0.84,kg
blackberries,blackberries,2020-10-16,10.5,kg
blueberries,blueberries,2020-10-16,8.64,kg
pears,conference,2020-10-16,0.89,kg
pears,doyenne_du_comice,2020-10-16,0.96,kg
raspberries,raspberries,2020-10-16,9.69,kg
strawberries,strawberries,2020-10-16,5.8,kg
beans,broad,2020-10-16,1.28,kg
beans,dwarf_french_or_kidney,2020-10-16,2.59,kg
beans,runner_climbing,2020-10-16,2.22,kg
beetroot,beetroot,2020-10-16,0.47,kg
brussels_sprouts,brussels_sprouts,2020-10-16,0.91,kg
pak_choi,pak_choi,2020-10-16,2.41,kg
curly_kale,curly_kale,2020-10-16,2.85,kg
cabbage,red,2020-10-16,0.35,kg
cabbage,savoy,2020-10-16,0.46,head
spring_greens,prepacked,2020-10-16,0.82,kg
cabbage,summer_autumn_pointed,2020-10-16,0.58,kg
cabbage,white,2020-10-16,0.33,kg
cabbage,round_green_other,2020-10-16,0.48,head
calabrese,calabrese,2020-10-16,1.19,kg
capsicum,green,2020-10-16,1.25,kg
capsicum,red,2020-10-16,1.05,kg
capsicum,elongated,2020-10-16,1.2,kg
carrots,topped_washed,2020-10-16,0.49,kg
cauliflower,all,2020-10-16,1.83,head
celery,all_washed,2020-10-16,0.78,kg
celeriac,celeriac,2020-10-16,0.68,kg
chinese_leaf,chinese_leaf,2020-10-16,0.96,kg
coriander,coriander,2020-10-16,1.58,kg
cucumbers,cucumbers,2020-10-16,1.09,kg
leeks,trimmed,2020-10-16,1.25,kg
lettuce,butterhead_indoor,2020-10-16,0.39,head
lettuce,cos,2020-10-16,0.6,head
lettuce,crisp_iceberg_type,2020-10-16,0.61,head
lettuce,little_gem,2020-10-16,0.61,twin
rocket,rocket,2020-10-16,4.86,kg
mixed_babyleaf_salad,pillow_pack,2020-10-16,4.65,kg
onion,bulb_brown,2020-10-16,0.41,kg
onion,bulb_red,2020-10-16,0.54,kg
onion,saladspring,2020-10-16,0.35,kg
swede,swede,2020-10-16,0.23,kg
turnip,turnip,2020-10-16,1.38,kg
parsnips,all_varieties,2020-10-16,1.07,kg
peas,shelling_all_varieties,2020-10-16,1.56,kg
rhubarb,outdoor,2020-10-16,1.42,kg
spinach_leaf,loosebunches,2020-10-16,1.27,kg
sweetcorn,sweetcorn,2020-10-16,0.26,head
tomatoes,round,2020-10-16,1.42,kg
tomatoes,vine,2020-10-16,2.1,kg
tomatoes,cherry,2020-10-16,4.62,kg
gladioli,all_varieties,2020-10-16,0.23,stem
apples,bramleys_seedling,2020-10-09,0.96,kg
apples,coxs_orange_group,2020-10-09,0.96,kg
apples,egremont_russet,2020-10-09,1.25,kg
apples,braeburn,2020-10-09,0.9,kg
apples,gala,2020-10-09,1,kg
apples,other_early_season,2020-10-09,0.75,kg
apples,other_mid_season,2020-10-09,0.88,kg
apples,other_late_season,2020-10-09,1,kg
blackberries,blackberries,2020-10-09,7.34,kg
blueberries,blueberries,2020-10-09,6.85,kg
pears,conference,2020-10-09,0.83,kg
pears,doyenne_du_comice,2020-10-09,1.02,kg
raspberries,raspberries,2020-10-09,10.54,kg
strawberries,strawberries,2020-10-09,5.56,kg
beans,broad,2020-10-09,1.33,kg
beans,dwarf_french_or_kidney,2020-10-09,1.92,kg
beans,runner_climbing,2020-10-09,3.38,kg
beetroot,beetroot,2020-10-09,0.47,kg
brussels_sprouts,brussels_sprouts,2020-10-09,0.81,kg
pak_choi,pak_choi,2020-10-09,2.39,kg
curly_kale,curly_kale,2020-10-09,2.9,kg
cabbage,red,2020-10-09,0.34,kg
cabbage,savoy,2020-10-09,0.46,head
spring_greens,prepacked,2020-10-09,0.71,kg
cabbage,summer_autumn_pointed,2020-10-09,0.58,kg
cabbage,white,2020-10-09,0.31,kg
cabbage,round_green_other,2020-10-09,0.47,head
calabrese,calabrese,2020-10-09,1.18,kg
capsicum,green,2020-10-09,1.25,kg
capsicum,red,2020-10-09,1.05,kg
capsicum,elongated,2020-10-09,1.6,kg
carrots,topped_washed,2020-10-09,0.49,kg
cauliflower,all,2020-10-09,1.62,head
celery,all_washed,2020-10-09,0.77,kg
celeriac,celeriac,2020-10-09,0.68,kg
chinese_leaf,chinese_leaf,2020-10-09,0.93,kg
coriander,coriander,2020-10-09,1.95,kg
courgettes,courgettes,2020-10-09,1.29,kg
cucumbers,cucumbers,2020-10-09,1.05,kg
leeks,trimmed,2020-10-09,1.24,kg
lettuce,butterhead_indoor,2020-10-09,0.39,head
lettuce,cos,2020-10-09,0.57,head
lettuce,crisp_iceberg_type,2020-10-09,0.58,head
lettuce,little_gem,2020-10-09,0.69,twin
rocket,rocket,2020-10-09,5.11,kg
mixed_babyleaf_salad,pillow_pack,2020-10-09,4.66,kg
onion,bulb_brown,2020-10-09,0.4,kg
onion,bulb_red,2020-10-09,0.54,kg
onion,saladspring,2020-10-09,0.33,kg
swede,swede,2020-10-09,0.23,kg
turnip,turnip,2020-10-09,1.42,kg
parsnips,all_varieties,2020-10-09,1.07,kg
peas,shelling_all_varieties,2020-10-09,2.11,kg
rhubarb,outdoor,2020-10-09,1.36,kg
spinach_leaf,loosebunches,2020-10-09,1.54,kg
sweetcorn,sweetcorn,2020-10-09,0.31,head
tomatoes,round,2020-10-09,1.32,kg
tomatoes,vine,2020-10-09,2.73,kg
tomatoes,cherry,2020-10-09,3.56,kg
gladioli,all_varieties,2020-10-09,0.24,stem
apples,bramleys_seedling,2020-10-02,0.98,kg
apples,coxs_orange_group,2020-10-02,0.98,kg
apples,egremont_russet,2020-10-02,1.25,kg
apples,braeburn,2020-10-02,0.9,kg
apples,gala,2020-10-02,1,kg
apples,other_early_season,2020-10-02,0.81,kg
apples,other_mid_season,2020-10-02,0.9,kg
apples,other_late_season,2020-10-02,1.04,kg
blackberries,blackberries,2020-10-02,8.62,kg
blueberries,blueberries,2020-10-02,9.59,kg
pears,conference,2020-10-02,0.88,kg
pears,doyenne_du_comice,2020-10-02,1,kg
plums,all_other,2020-10-02,1.76,kg
raspberries,raspberries,2020-10-02,10.98,kg
strawberries,strawberries,2020-10-02,4.02,kg
beans,broad,2020-10-02,1.47,kg
beans,dwarf_french_or_kidney,2020-10-02,2.07,kg
beans,runner_climbing,2020-10-02,3.46,kg
beetroot,beetroot,2020-10-02,0.47,kg
brussels_sprouts,brussels_sprouts,2020-10-02,0.9,kg
pak_choi,pak_choi,2020-10-02,2.42,kg
curly_kale,curly_kale,2020-10-02,2.68,kg
cabbage,red,2020-10-02,0.35,kg
cabbage,savoy,2020-10-02,0.46,head
spring_greens,prepacked,2020-10-02,0.71,kg
cabbage,summer_autumn_pointed,2020-10-02,0.57,kg
cabbage,white,2020-10-02,0.34,kg
cabbage,round_green_other,2020-10-02,0.47,head
calabrese,calabrese,2020-10-02,1.21,kg
capsicum,red,2020-10-02,0.85,kg
capsicum,elongated,2020-10-02,1.6,kg
carrots,topped_washed,2020-10-02,0.5,kg
cauliflower,all,2020-10-02,1.55,head
celery,all_washed,2020-10-02,0.77,kg
celeriac,celeriac,2020-10-02,0.69,kg
chinese_leaf,chinese_leaf,2020-10-02,1,kg
coriander,coriander,2020-10-02,1.76,kg
courgettes,courgettes,2020-10-02,1.45,kg
cucumbers,cucumbers,2020-10-02,1.1,kg
leeks,trimmed,2020-10-02,1.22,kg
lettuce,butterhead_indoor,2020-10-02,0.39,head
lettuce,cos,2020-10-02,0.6,head
lettuce,crisp_iceberg_type,2020-10-02,0.68,head
lettuce,little_gem,2020-10-02,0.67,twin
rocket,rocket,2020-10-02,4.79,kg
mixed_babyleaf_salad,pillow_pack,2020-10-02,4.53,kg
onion,bulb_brown,2020-10-02,0.41,kg
onion,bulb_red,2020-10-02,0.51,kg
onion,saladspring,2020-10-02,0.34,kg
swede,swede,2020-10-02,0.23,kg
